class,detections,files,jpg_files,jpg_size,aspect_ratio,max_areas,bbox_area,bbox_centroid,bbox_x1,bbox_y1,bbox_x2,bbox_y2,times,hours
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776948192_area_58_55.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776948192_area_58_55.jpg,"[1920, 1080]",1.7777777777777777,58.0,[112.0],"[(513.00096, 745.0002)]",[506.00095999999996],[741.0002],[520.00096],[749.0002],2025-08-21 07:49:08.192000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776948374_area_42_56.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776948374_area_42_56.jpg,"[1920, 1080]",1.7777777777777777,42.0,[80.0],"[(632.00064, 757.00008)]",[628.00064],[752.00008],[636.00064],[762.00008],2025-08-21 07:49:08.374000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778537766_area_119_86.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778537766_area_119_86.jpg,"[1920, 1080]",1.7777777777777777,119.0,[325.0],"[(879.50016, 484.49987999999996)]",[873.00016],[471.99987999999996],[886.00016],[496.99987999999996],2025-08-21 08:15:37.766000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778537904_area_78_87.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778537904_area_78_87.jpg,"[1920, 1080]",1.7777777777777777,78.0,[121.0],"[(767.5008, 479.49948)]",[762.0008],[473.99948],[773.0008],[484.99948],2025-08-21 08:15:37.904000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778538043_area_146_88.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778538043_area_146_88.jpg,"[1920, 1080]",1.7777777777777777,146.0,[299.0],"[(670.50048, 477.5004)]",[664.00048],[466.0004],[677.00048],[489.0004],2025-08-21 08:15:38.043000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778614552_area_37_90.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778614552_area_37_90.jpg,"[1920, 1080]",1.7777777777777777,37.0,[63.0],"[(694.50048, 492.50052)]",[690.00048],[489.00052],[699.00048],[496.00052],2025-08-21 08:16:54.552000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778614685_area_40_91.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778614685_area_40_91.jpg,"[1920, 1080]",1.7777777777777777,40.0,[77.0],"[(694.50048, 492.50052)]",[689.00048],[489.00052],[700.00048],[496.00052],2025-08-21 08:16:54.685000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778666139_area_48_97.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778666139_area_48_97.jpg,"[1920, 1080]",1.7777777777777777,48.0,[77.0],"[(713.5007999999999, 486.50004)]",[710.0007999999999],[481.00004],[717.0007999999999],[492.00004],2025-08-21 08:17:46.139000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778666756_area_32_101.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778666756_area_32_101.jpg,"[1920, 1080]",1.7777777777777777,32.0,[48.0],"[(808.99968, 473.00004)]",[804.99968],[470.00004],[812.99968],[476.00004],2025-08-21 08:17:46.756000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778666920_area_31_102.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778666920_area_31_102.jpg,"[1920, 1080]",1.7777777777777777,31.0,[54.0],"[(825.9993599999999, 472.5)]",[822.9993599999999],[468.0],[828.9993599999999],[477.0],2025-08-21 08:17:46.920000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778667060_area_36_103.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778667060_area_36_103.jpg,"[1920, 1080]",1.7777777777777777,36.0,[54.0],"[(837.00096, 472.5)]",[834.00096],[468.0],[840.00096],[477.0],2025-08-21 08:17:47.060000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778667206_area_32_104.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778667206_area_32_104.jpg,"[1920, 1080]",1.7777777777777777,32.0,[64.0],"[(846.0, 470.99988)]",[842.0],[466.99988],[850.0],[474.99988],2025-08-21 08:17:47.206000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778667497_area_31_105.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778667497_area_31_105.jpg,"[1920, 1080]",1.7777777777777777,31.0,[49.0],"[(846.4992000000001, 450.5004)]",[842.9992000000001],[447.0004],[849.9992000000001],[454.0004],2025-08-21 08:17:47.497000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778667671_area_86_106.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778667671_area_86_106.jpg,"[1920, 1080]",1.7777777777777777,86.0,[224.0],"[(826.9996799999999, 420.00012)]",[819.9996799999999],[412.00012],[833.9996799999999],[428.00012],2025-08-21 08:17:47.671000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778667834_area_92_107.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778667834_area_92_107.jpg,"[1920, 1080]",1.7777777777777777,92.0,[323.0],"[(803.5007999999999, 381.50028000000003)]",[794.0007999999999],[373.00028000000003],[813.0007999999999],[390.00028000000003],2025-08-21 08:17:47.834000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778667978_area_71_108.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778667978_area_71_108.jpg,"[1920, 1080]",1.7777777777777777,71.0,[165.0],"[(774.4992, 354.50028000000003)]",[766.9992],[349.00028000000003],[781.9992],[360.00028000000003],2025-08-21 08:17:47.978000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778668146_area_53_109.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778668146_area_53_109.jpg,"[1920, 1080]",1.7777777777777777,53.0,[128.0],"[(756.0, 319.99968)]",[748.0],[315.99968],[764.0],[323.99968],2025-08-21 08:17:48.146000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778668292_area_188_110.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778668292_area_188_110.jpg,"[1920, 1080]",1.7777777777777777,188.0,[320.0],"[(777.99936, 201.99996000000002)]",[767.99936],[193.99996000000002],[787.99936],[209.99996000000002],2025-08-21 08:17:48.292000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778668442_area_344_111.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778668442_area_344_111.jpg,"[1920, 1080]",1.7777777777777777,344.0,[675.0],"[(827.5008, 91.49976000000001)]",[815.0008],[77.99976000000001],[840.0008],[104.99976000000001],2025-08-21 08:17:48.442000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778761571_area_30_112.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778761571_area_30_112.jpg,"[1920, 1080]",1.7777777777777777,30.0,[49.0],"[(479.50079999999997, 381.50028000000003)]",[476.00079999999997],[378.00028000000003],[483.00079999999997],[385.00028000000003],2025-08-21 08:19:21.571000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778761727_area_50_113.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778761727_area_50_113.jpg,"[1920, 1080]",1.7777777777777777,50.0,[88.0],"[(428.00064000000003, 361.49976000000004)]",[424.00064000000003],[355.99976000000004],[432.00064000000003],[366.99976000000004],2025-08-21 08:19:21.727000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778761883_area_38_114.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778761883_area_38_114.jpg,"[1920, 1080]",1.7777777777777777,38.0,[72.0],"[(331.49952, 335.99988)]",[326.99952],[331.99988],[335.99952],[339.99988],2025-08-21 08:19:21.883000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778762047_area_56_115.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778762047_area_56_115.jpg,"[1920, 1080]",1.7777777777777777,56.0,[110.0],"[(198.4992, 293.99976000000004)]",[192.9992],[288.99976000000004],[203.9992],[298.99976000000004],2025-08-21 08:19:22.047000-04:00,8
bird,2,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778782544_area_41_118.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778782544_area_41_118.jpg,"[1920, 1080]",1.7777777777777777,41.0,"[63.0, 70.0]","[(491.50079999999997, 326.5002), (350.49984, 338.00004)]","[487.00079999999997, 346.99984]","[323.0002, 333.00004]","[496.00079999999997, 353.99984]","[330.0002, 343.00004]",2025-08-21 08:19:42.544000-04:00,8
bird,2,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778783222_area_63_121.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778783222_area_63_121.jpg,"[1920, 1080]",1.7777777777777777,63.0,"[90.0, 143.0]","[(700.50048, 249.00048), (539.5008, 270.50004)]","[696.00048, 534.0008]","[244.00048, 264.00004]","[705.00048, 545.0008]","[254.00048, 277.00004]",2025-08-21 08:19:43.222000-04:00,8
bird,2,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778783382_area_56_122.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778783382_area_56_122.jpg,"[1920, 1080]",1.7777777777777777,56.0,"[72.0, 96.0]","[(752.4998400000001, 231.00011999999998), (589.00032, 249.99948)]","[747.9998400000001, 585.00032]","[227.00011999999998, 243.99948]","[756.9998400000001, 593.00032]","[235.00011999999998, 255.99948]",2025-08-21 08:19:43.382000-04:00,8
bird,2,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778783647_area_67_123.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778783647_area_67_123.jpg,"[1920, 1080]",1.7777777777777777,67.0,"[63.0, 165.0]","[(850.50048, 192.50028), (693.50016, 213.4998)]","[846.00048, 688.00016]","[189.00028, 205.9998]","[855.00048, 699.00016]","[196.00028, 220.9998]",2025-08-21 08:19:43.647000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778849035_area_44_128.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778849035_area_44_128.jpg,"[1920, 1080]",1.7777777777777777,44.0,[110.0],"[(452.00064, 458.49996)]",[447.00064],[452.99996],[457.00064],[463.99996],2025-08-21 08:20:49.035000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778849371_area_32_129.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778849371_area_32_129.jpg,"[1920, 1080]",1.7777777777777777,32.0,[56.0],"[(632.4998400000001, 462.00023999999996)]",[628.9998400000001],[458.00023999999996],[635.9998400000001],[466.00023999999996],2025-08-21 08:20:49.371000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778849545_area_48_130.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778849545_area_48_130.jpg,"[1920, 1080]",1.7777777777777777,48.0,[90.0],"[(689.5008, 463.00032)]",[685.0008],[458.00032],[694.0008],[468.00032],2025-08-21 08:20:49.545000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778849750_area_37_131.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778849750_area_37_131.jpg,"[1920, 1080]",1.7777777777777777,37.0,[96.0],"[(780.0, 452.00052)]",[774.0],[448.00052],[786.0],[456.00052],2025-08-21 08:20:49.750000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778849888_area_57_132.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778849888_area_57_132.jpg,"[1920, 1080]",1.7777777777777777,57.0,[132.0],"[(832.5004799999999, 433.00008)]",[827.0004799999999],[427.00008],[838.0004799999999],[439.00008],2025-08-21 08:20:49.888000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778905123_area_155_137.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778905123_area_155_137.jpg,"[1920, 1080]",1.7777777777777777,155.0,[260.0],"[(445.49951999999996, 793.9997999999999)]",[438.99951999999996],[783.9997999999999],[451.99951999999996],[803.9997999999999],2025-08-21 08:21:45.123000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778905288_area_93_138.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778905288_area_93_138.jpg,"[1920, 1080]",1.7777777777777777,93.0,[165.0],"[(603.50016, 794.49984)]",[596.00016],[788.99984],[611.00016],[799.99984],2025-08-21 08:21:45.288000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755778905440_area_137_139.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755778905440_area_137_139.jpg,"[1920, 1080]",1.7777777777777777,137.0,[176.0],"[(861.5001599999999, 748.00044)]",[856.0001599999999],[740.00044],[867.0001599999999],[756.00044],2025-08-21 08:21:45.440000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779213767_area_45_157.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779213767_area_45_157.jpg,"[1920, 1080]",1.7777777777777777,45.0,[88.0],"[(237.50016, 194.0004)]",[232.00016],[190.0004],[243.00016],[198.0004],2025-08-21 08:26:53.767000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779282873_area_34_162.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779282873_area_34_162.jpg,"[1920, 1080]",1.7777777777777777,34.0,[42.0],"[(644.0006400000001, 70.50024)]",[641.0006400000001],[67.00024],[647.0006400000001],[74.00024],2025-08-21 08:28:02.873000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779283038_area_49_163.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779283038_area_49_163.jpg,"[1920, 1080]",1.7777777777777777,49.0,[90.0],"[(836.00064, 155.49948)]",[831.00064],[150.99948],[841.00064],[159.99948],2025-08-21 08:28:03.038000-04:00,8
bird,2,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779352954_area_70_169.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779352954_area_70_169.jpg,"[1920, 1080]",1.7777777777777777,70.0,"[130.0, 48.0]","[(513.50016, 389.99988), (930.0, 584.00028)]","[507.00016000000005, 926.0]","[384.99988, 581.00028]","[520.00016, 934.0]","[394.99988, 587.00028]",2025-08-21 08:29:12.954000-04:00,8
bird,2,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779353146_area_45_170.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779353146_area_45_170.jpg,"[1920, 1080]",1.7777777777777777,45.0,"[70.0, 56.0]","[(345.99936, 321.4998), (873.00096, 540.50004)]","[340.99936, 869.00096]","[317.9998, 537.00004]","[350.99936, 877.00096]","[324.9998, 544.00004]",2025-08-21 08:29:13.146000-04:00,8
bird,2,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779353271_area_69_171.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779353271_area_69_171.jpg,"[1920, 1080]",1.7777777777777777,69.0,"[117.0, 64.0]","[(231.50016, 285.50016), (825.0009600000001, 513.0)]","[225.00016, 821.0009600000001]","[281.00016, 509.0]","[238.00016, 829.0009600000001]","[290.00016, 517.0]",2025-08-21 08:29:13.271000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779353419_area_44_172.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779353419_area_44_172.jpg,"[1920, 1080]",1.7777777777777777,44.0,[56.0],"[(768.0, 485.49996000000004)]",[764.0],[481.99996000000004],[772.0],[488.99996000000004],2025-08-21 08:29:13.419000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779353598_area_46_173.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779353598_area_46_173.jpg,"[1920, 1080]",1.7777777777777777,46.0,[80.0],"[(698.99904, 460.00008)]",[694.99904],[455.00008],[702.99904],[465.00008],2025-08-21 08:29:13.598000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779353737_area_45_174.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779353737_area_45_174.jpg,"[1920, 1080]",1.7777777777777777,45.0,[64.0],"[(616.9996799999999, 432.0)]",[612.9996799999999],[428.0],[620.9996799999999],[436.0],2025-08-21 08:29:13.737000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779353861_area_48_175.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779353861_area_48_175.jpg,"[1920, 1080]",1.7777777777777777,48.0,[70.0],"[(458.99904, 399.49956)]",[453.99904],[395.99956],[463.99904],[402.99956],2025-08-21 08:29:13.861000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779354052_area_85_176.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779354052_area_85_176.jpg,"[1920, 1080]",1.7777777777777777,85.0,[120.0],"[(434.99904000000004, 394.0002)]",[429.99904000000004],[388.0002],[439.99904000000004],[400.0002],2025-08-21 08:29:14.052000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779354286_area_60_177.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779354286_area_60_177.jpg,"[1920, 1080]",1.7777777777777777,60.0,[110.0],"[(269.50079999999997, 368.00028000000003)]",[264.00079999999997],[363.00028000000003],[275.00079999999997],[373.00028000000003],2025-08-21 08:29:14.286000-04:00,8
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755779382449_area_42_178.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755779382449_area_42_178.jpg,"[1920, 1080]",1.7777777777777777,42.0,[55.0],"[(888.4992, 565.4998800000001)]",[882.9992],[562.9998800000001],[893.9992],[567.9998800000001],2025-08-21 08:29:42.449000-04:00,8
